Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
T05 Sedekah Online,Firefox 117.0,,,2023-10-05 15:41:47,2023-10-05 15:51:13,9m - 26.105s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-LS-001,Firefox 117.0,User login dengan Memasukan username dan password yang valid,,2023-10-05 15:41:48,2023-10-05 15:42:06,18.321s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-10-05 15:41:49,2023-10-05 15:42:01,12.593s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-10-05 15:42:01,2023-10-05 15:42:02,0.174s,PASSED
"click(findTestObject(""Login/a_Login""))",Firefox 117.0,,,2023-10-05 15:42:02,2023-10-05 15:42:02,0.932s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), ""runa36"")",Firefox 117.0,,,2023-10-05 15:42:02,2023-10-05 15:42:03,0.913s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password di Login(Masuk)""), ""qbkrdMwyWE4="")",Firefox 117.0,,,2023-10-05 15:42:03,2023-10-05 15:42:04,0.663s,PASSED
"click(findTestObject(""Login/button_Masuk di halaman login""))",Firefox 117.0,,,2023-10-05 15:42:04,2023-10-05 15:42:05,1.206s,PASSED
"verifyElementPresent(findTestObject(""Pendaftaran/verifikasi MASUK di halaman Login""), 0)",Firefox 117.0,,,2023-10-05 15:42:05,2023-10-05 15:42:06,0.627s,PASSED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-001,Firefox 117.0,user melakukan sedekah online dengan menginputkan detail yang valid,,2023-10-05 15:42:06,2023-10-05 15:42:31,24.947s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-10-05 15:42:07,2023-10-05 15:42:17,10.330s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-10-05 15:42:17,2023-10-05 15:42:17,0.033s,PASSED
"verifyElementPresent(findTestObject(""verifikasi masuk website tajalapk""), 0)",Firefox 117.0,,,2023-10-05 15:42:17,2023-10-05 15:42:18,0.453s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-10-05 15:42:18,2023-10-05 15:42:18,0.615s,PASSED
"verifyElementClickable(findTestObject(""sedekah online/a_Sedekah Online""), STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-05 15:42:18,2023-10-05 15:42:19,0.592s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-10-05 15:42:19,2023-10-05 15:42:20,1.228s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-10-05 15:42:20,2023-10-05 15:42:21,0.638s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), NominalSedekah)",Firefox 117.0,,,2023-10-05 15:42:21,2023-10-05 15:42:22,0.792s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Firefox 117.0,,,2023-10-05 15:42:22,2023-10-05 15:42:23,1.024s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Firefox 117.0,,,2023-10-05 15:42:23,2023-10-05 15:42:24,1.053s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Firefox 117.0,,,2023-10-05 15:42:24,2023-10-05 15:42:25,0.914s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), pembayaran, false)",Firefox 117.0,,,2023-10-05 15:42:25,2023-10-05 15:42:26,1.406s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), sedekahUntuk, false)",Firefox 117.0,,,2023-10-05 15:42:26,2023-10-05 15:42:27,0.773s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Firefox 117.0,,,2023-10-05 15:42:27,2023-10-05 15:42:28,0.969s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), digitAkhir)",Firefox 117.0,,,2023-10-05 15:42:28,2023-10-05 15:42:29,1.040s,PASSED
