Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
M05 - Edit Sosial Media,Firefox 117.0,,,2023-09-29 10:50:32,2023-09-29 10:58:41,8m - 8.788s,ERROR
,,,,,,,
Test Cases/M05 -Edit Sosial Media/TC-LS-001,Firefox 117.0,User login dengan Memasukan username dan password yang valid,,2023-09-29 10:50:33,2023-09-29 10:50:54,21.263s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 10:50:33,2023-09-29 10:50:48,14.766s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 10:50:48,2023-09-29 10:50:48,0.119s,PASSED
"click(findTestObject(""Login/a_Login""))",Firefox 117.0,,,2023-09-29 10:50:48,2023-09-29 10:50:49,0.939s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), ""runa36"")",Firefox 117.0,,,2023-09-29 10:50:49,2023-09-29 10:50:50,1.143s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password di Login(Masuk)""), ""qbkrdMwyWE4="")",Firefox 117.0,,,2023-09-29 10:50:50,2023-09-29 10:50:51,0.856s,PASSED
"click(findTestObject(""Login/button_Masuk di halaman login""))",Firefox 117.0,,,2023-09-29 10:50:51,2023-09-29 10:50:53,2.465s,PASSED
"verifyElementPresent(findTestObject(""edit sosial media/verifikasi masuk halaman biodata diri""), 0)",Firefox 117.0,,,2023-09-29 10:50:53,2023-09-29 10:50:54,0.478s,PASSED
,,,,,,,
Test Cases/M05 -Edit Sosial Media/TC-ESMS-001,Firefox 117.0,User melakukan edit semua sosial media dengan inputan yang valid,,2023-09-29 10:50:54,2023-09-29 10:51:32,37.842s,PASSED
"callTestCase(findTestCase(""M05 -Edit Sosial Media/TC-LS-001""), [:], STOP_ON_FAILURE)",Firefox 117.0,,,2023-09-29 10:50:55,2023-09-29 10:51:11,15.391s,PASSED
"verifyElementPresent(findTestObject(""edit sosial media/verifikasi masuk halaman biodata diri""), 0)",Firefox 117.0,,,2023-09-29 10:51:11,2023-09-29 10:51:11,0.468s,PASSED
