Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
M05 - Edit Sosial Media,Edge Chromium 117,,,2023-10-06 11:37:24,2023-10-06 11:45:06,7m - 42.374s,FAILED
,,,,,,,
Test Cases/M05 -Edit Sosial Media/TC-LS-001,Edge Chromium 117,User login dengan Memasukan username dan password yang valid,,2023-10-06 11:37:24,2023-10-06 11:37:43,18.680s,PASSED
openBrowser(urlWeb),Edge Chromium 117,,,2023-10-06 11:37:25,2023-10-06 11:37:35,10.154s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-06 11:37:35,2023-10-06 11:37:36,0.518s,PASSED
"click(findTestObject(""Login/a_Login""))",Edge Chromium 117,,,2023-10-06 11:37:36,2023-10-06 11:37:37,1.159s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), ""runa36"")",Edge Chromium 117,,,2023-10-06 11:37:37,2023-10-06 11:37:38,1.205s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password di Login(Masuk)""), ""qbkrdMwyWE4="")",Edge Chromium 117,,,2023-10-06 11:37:38,2023-10-06 11:37:39,0.601s,PASSED
"click(findTestObject(""Login/button_Masuk di halaman login""))",Edge Chromium 117,,,2023-10-06 11:37:39,2023-10-06 11:37:42,3.975s,PASSED
"verifyElementPresent(findTestObject(""edit sosial media/verifikasi masuk halaman biodata diri""), 0)",Edge Chromium 117,,,2023-10-06 11:37:42,2023-10-06 11:37:43,0.598s,PASSED
,,,,,,,
Test Cases/M05 -Edit Sosial Media/TC-ESMS-001,Edge Chromium 117,User melakukan edit semua sosial media dengan inputan yang valid,,2023-10-06 11:37:43,2023-10-06 11:38:19,35.671s,PASSED
"callTestCase(findTestCase(""M05 -Edit Sosial Media/TC-LS-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 11:37:44,2023-10-06 11:37:57,12.747s,PASSED
"verifyElementPresent(findTestObject(""edit sosial media/verifikasi masuk halaman biodata diri""), 0)",Edge Chromium 117,,,2023-10-06 11:37:57,2023-10-06 11:37:58,0.502s,PASSED
"click(findTestObject(""edit sosial media/a_Sosmed""))",Edge Chromium 117,,,2023-10-06 11:37:58,2023-10-06 11:37:59,1.293s,PASSED
"click(findTestObject(""edit sosial media/Edit Sosial Media""))",Edge Chromium 117,,,2023-10-06 11:37:59,2023-10-06 11:38:00,1.417s,PASSED
"clearText(findTestObject(""edit sosial media/input_Facebook_a""))",Edge Chromium 117,,,2023-10-06 11:38:00,2023-10-06 11:38:01,0.823s,PASSED
"setText(findTestObject(""edit sosial media/input_Facebook_a""), Facebook)",Edge Chromium 117,,,2023-10-06 11:38:01,2023-10-06 11:38:02,0.966s,PASSED
"clearText(findTestObject(""edit sosial media/input_Twitter_b""))",Edge Chromium 117,,,2023-10-06 11:38:02,2023-10-06 11:38:03,0.658s,PASSED
"setText(findTestObject(""edit sosial media/input_Twitter_b""), Twitter)",Edge Chromium 117,,,2023-10-06 11:38:03,2023-10-06 11:38:04,0.901s,PASSED
"clearText(findTestObject(""edit sosial media/input_Instagram_c""))",Edge Chromium 117,,,2023-10-06 11:38:04,2023-10-06 11:38:04,0.601s,PASSED
"setText(findTestObject(""edit sosial media/input_Instagram_c""), Instagram)",Edge Chromium 117,,,2023-10-06 11:38:04,2023-10-06 11:38:05,1.123s,PASSED
"clearText(findTestObject(""edit sosial media/input_Whatsapp_d""))",Edge Chromium 117,,,2023-10-06 11:38:05,2023-10-06 11:38:06,0.542s,PASSED
"setText(findTestObject(""edit sosial media/input_Whatsapp_d""), Whatsapp)",Edge Chromium 117,,,2023-10-06 11:38:06,2023-10-06 11:38:07,1.070s,PASSED
"clearText(findTestObject(""edit sosial media/input_Telegram_e""))",Edge Chromium 117,,,2023-10-06 11:38:07,2023-10-06 11:38:08,0.649s,PASSED
"setText(findTestObject(""edit sosial media/input_Telegram_e""), Telegram)",Edge Chromium 117,,,2023-10-06 11:38:08,2023-10-06 11:38:09,1.203s,PASSED
"clearText(findTestObject(""edit sosial media/input_Youtube_f""))",Edge Chromium 117,,,2023-10-06 11:38:09,2023-10-06 11:38:09,0.513s,PASSED
"setText(findTestObject(""edit sosial media/input_Youtube_f""), Youtube)",Edge Chromium 117,,,2023-10-06 11:38:09,2023-10-06 11:38:10,0.941s,PASSED
"clearText(findTestObject(""edit sosial media/input_LinkedIn_g""))",Edge Chromium 117,,,2023-10-06 11:38:10,2023-10-06 11:38:11,0.549s,PASSED
"setText(findTestObject(""edit sosial media/input_LinkedIn_g""), LinkedIn)",Edge Chromium 117,,,2023-10-06 11:38:11,2023-10-06 11:38:12,0.929s,PASSED
"clearText(findTestObject(""edit sosial media/input_Google_h""))",Edge Chromium 117,,,2023-10-06 11:38:12,2023-10-06 11:38:12,0.640s,PASSED
"setText(findTestObject(""edit sosial media/input_Google_h""), Google)",Edge Chromium 117,,,2023-10-06 11:38:12,2023-10-06 11:38:13,1.045s,PASSED
"click(findTestObject(""edit sosial media/center_Simpan Sosial Media""))",Edge Chromium 117,,,2023-10-06 11:38:13,2023-10-06 11:38:15,1.319s,PASSED
"face = getText(findTestObject(""hasil sosmed/hasil facebook_a""))",Edge Chromium 117,,,2023-10-06 11:38:15,2023-10-06 11:38:16,0.765s,PASSED
"Twit = getText(findTestObject(""hasil sosmed/hasil twitter_b""))",Edge Chromium 117,,,2023-10-06 11:38:16,2023-10-06 11:38:16,0.458s,PASSED
"insta = getText(findTestObject(""hasil sosmed/hasil Instagram_c""))",Edge Chromium 117,,,2023-10-06 11:38:16,2023-10-06 11:38:16,0.474s,PASSED
"wa = getText(findTestObject(""hasil sosmed/hasil whatsapp d""))",Edge Chromium 117,,,2023-10-06 11:38:16,2023-10-06 11:38:17,0.447s,PASSED
"tele = getText(findTestObject(""hasil sosmed/hasil Telegram e""))",Edge Chromium 117,,,2023-10-06 11:38:17,2023-10-06 11:38:17,0.476s,PASSED
"yout = getText(findTestObject(""hasil sosmed/hasil youtube f""))",Edge Chromium 117,,,2023-10-06 11:38:17,2023-10-06 11:38:18,0.450s,PASSED
"lin = getText(findTestObject(""hasil sosmed/hasil linkedin g""))",Edge Chromium 117,,,2023-10-06 11:38:18,2023-10-06 11:38:18,0.420s,PASSED
"goo = getText(findTestObject(""hasil sosmed/hasil google h""))",Edge Chromium 117,,,2023-10-06 11:38:18,2023-10-06 11:38:19,0.482s,PASSED
assert trim().equalsIgnoreCase(Facebook.trim()),Edge Chromium 117,,,2023-10-06 11:38:19,2023-10-06 11:38:19,0.008s,PASSED
assert trim().equalsIgnoreCase(Twitter.trim()),Edge Chromium 117,,,2023-10-06 11:38:19,2023-10-06 11:38:19,0.000s,PASSED
assert trim().equalsIgnoreCase(Instagram.trim()),Edge Chromium 117,,,2023-10-06 11:38:19,2023-10-06 11:38:19,0.000s,PASSED
assert trim().equalsIgnoreCase(Whatsapp.trim()),Edge Chromium 117,,,2023-10-06 11:38:19,2023-10-06 11:38:19,0.004s,PASSED
assert trim().equalsIgnoreCase(Telegram.trim()),Edge Chromium 117,,,2023-10-06 11:38:19,2023-10-06 11:38:19,0.000s,PASSED
assert trim().equalsIgnoreCase(Youtube.trim()),Edge Chromium 117,,,2023-10-06 11:38:19,2023-10-06 11:38:19,0.000s,PASSED
assert trim().equalsIgnoreCase(LinkedIn.trim()),Edge Chromium 117,,,2023-10-06 11:38:19,2023-10-06 11:38:19,0.000s,PASSED
