Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
openBrowser(urlWeb),Edge Chromium 116,,,2023-09-05 15:40:41,2023-09-05 15:40:50,8.977s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-09-05 15:40:50,2023-09-05 15:40:50,0.209s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Edge Chromium 116,,,2023-09-05 15:40:50,2023-09-05 15:40:51,0.971s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Edge Chromium 116,,,2023-09-05 15:40:51,2023-09-05 15:40:53,1.740s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Edge Chromium 116,,,2023-09-05 15:40:53,2023-09-05 15:40:53,0.579s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), nominalSedekah)",Edge Chromium 116,,,2023-09-05 15:40:53,2023-09-05 15:40:55,1.284s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Edge Chromium 116,,,2023-09-05 15:40:55,2023-09-05 15:40:56,1.461s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Edge Chromium 116,,,2023-09-05 15:40:56,2023-09-05 15:40:58,1.403s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Edge Chromium 116,,,2023-09-05 15:40:58,2023-09-05 15:40:59,1.300s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), metodePembayaran, false)",Edge Chromium 116,,,2023-09-05 15:40:59,2023-09-05 15:41:02,2.837s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), tujuanSedekah, false)",Edge Chromium 116,,,2023-09-05 15:41:02,2023-09-05 15:41:06,3.926s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Edge Chromium 116,,,2023-09-05 15:41:06,2023-09-05 15:41:10,4.208s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), ""43"")",Edge Chromium 116,,,2023-09-05 15:41:10,2023-09-05 15:41:11,1.289s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Edge Chromium 116,,,2023-09-05 15:41:11,2023-09-05 15:41:13,1.556s,PASSED
"verifyElementText(findTestObject(""sedekah online/verifikasi gagal bernoasi beda dua digit nomor hp""), ""GAGAL Diproses, 2 Digit Terakhir No Handphone yang anda input salah!"")",Edge Chromium 116,,,2023-09-05 15:41:13,2023-09-05 15:41:14,0.783s,PASSED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-Failed-003,Edge Chromium 116,user melakukan sedekah online namun menginputkan email tanpa menggunakan domain,,2023-09-05 15:42:36,2023-09-05 15:43:09,32.987s,FAILED
openBrowser(urlWeb),Edge Chromium 116,,,2023-09-05 15:42:37,2023-09-05 15:42:45,8.237s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-09-05 15:42:45,2023-09-05 15:42:45,0.184s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Edge Chromium 116,,,2023-09-05 15:42:45,2023-09-05 15:42:46,0.943s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Edge Chromium 116,,,2023-09-05 15:42:46,2023-09-05 15:42:48,1.429s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Edge Chromium 116,,,2023-09-05 15:42:48,2023-09-05 15:42:48,0.587s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), nominalSedekah)",Edge Chromium 116,,,2023-09-05 15:42:48,2023-09-05 15:42:50,1.445s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Edge Chromium 116,,,2023-09-05 15:42:50,2023-09-05 15:42:51,1.555s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Edge Chromium 116,,,2023-09-05 15:42:51,2023-09-05 15:42:53,1.966s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), ""anata71"")",Edge Chromium 116,,,2023-09-05 15:42:53,2023-09-05 15:42:55,1.365s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), metodePembayaran, false)",Edge Chromium 116,,,2023-09-05 15:42:55,2023-09-05 15:42:59,4.041s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), tujuanSedekah, false)",Edge Chromium 116,,,2023-09-05 15:42:59,2023-09-05 15:43:03,4.028s,PASSED
