Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
T05 Sedekah Online,Firefox 117.0,,,2023-10-05 15:23:48,2023-10-05 15:34:31,10m - 42.758s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-001,Firefox 117.0,user melakukan sedekah online dengan menginputkan detail yang valid,,2023-10-05 15:23:49,2023-10-05 15:24:18,29.081s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-10-05 15:23:50,2023-10-05 15:24:03,13.463s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-10-05 15:24:03,2023-10-05 15:24:03,0.078s,PASSED
"verifyElementPresent(findTestObject(""verifikasi masuk website tajalapk""), 0)",Firefox 117.0,,,2023-10-05 15:24:03,2023-10-05 15:24:04,0.716s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-10-05 15:24:04,2023-10-05 15:24:05,0.680s,PASSED
"verifyElementClickable(findTestObject(""sedekah online/a_Sedekah Online""), STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-05 15:24:05,2023-10-05 15:24:05,0.602s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-10-05 15:24:05,2023-10-05 15:24:07,1.334s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-10-05 15:24:07,2023-10-05 15:24:07,0.713s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), NominalSedekah)",Firefox 117.0,,,2023-10-05 15:24:07,2023-10-05 15:24:08,0.895s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Firefox 117.0,,,2023-10-05 15:24:08,2023-10-05 15:24:09,1.062s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Firefox 117.0,,,2023-10-05 15:24:09,2023-10-05 15:24:10,1.074s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Firefox 117.0,,,2023-10-05 15:24:10,2023-10-05 15:24:11,0.897s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), pembayaran, false)",Firefox 117.0,,,2023-10-05 15:24:11,2023-10-05 15:24:12,1.085s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), sedekahUntuk, false)",Firefox 117.0,,,2023-10-05 15:24:12,2023-10-05 15:24:13,0.847s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Firefox 117.0,,,2023-10-05 15:24:13,2023-10-05 15:24:14,1.123s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), digitAkhir)",Firefox 117.0,,,2023-10-05 15:24:14,2023-10-05 15:24:15,1.078s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Firefox 117.0,,,2023-10-05 15:24:15,2023-10-05 15:24:17,1.819s,PASSED
"verifyElementText(findTestObject(""sedekah online/verifikasi sukses berdonasi""), ""Sukses Proses Bersedekah, kami akan segera menghubungi anda! Terima kasih"")",Firefox 117.0,,,2023-10-05 15:24:17,2023-10-05 15:24:18,0.729s,PASSED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-002,Firefox 117.0,user melakukan sedekah online namun dengan nominal kurang dari 25.000,,2023-10-05 15:24:18,2023-10-05 15:24:45,26.935s,FAILED
openBrowser(urlWeb),Firefox 117.0,,,2023-10-05 15:24:19,2023-10-05 15:24:30,10.728s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-10-05 15:24:30,2023-10-05 15:24:30,0.041s,PASSED
"verifyElementPresent(findTestObject(""verifikasi masuk website tajalapk""), 0)",Firefox 117.0,,,2023-10-05 15:24:30,2023-10-05 15:24:31,0.635s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-10-05 15:24:31,2023-10-05 15:24:31,0.654s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-10-05 15:24:31,2023-10-05 15:24:33,1.579s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-10-05 15:24:33,2023-10-05 15:24:34,0.852s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), NominalSedekah)",Firefox 117.0,,,2023-10-05 15:24:34,2023-10-05 15:24:34,0.867s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Firefox 117.0,,,2023-10-05 15:24:34,2023-10-05 15:24:36,1.070s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Firefox 117.0,,,2023-10-05 15:24:36,2023-10-05 15:24:37,1.117s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Firefox 117.0,,,2023-10-05 15:24:37,2023-10-05 15:24:38,0.931s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), pembayaran, false)",Firefox 117.0,,,2023-10-05 15:24:38,2023-10-05 15:24:39,0.908s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), sedekahUntuk, false)",Firefox 117.0,,,2023-10-05 15:24:39,2023-10-05 15:24:39,0.862s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Firefox 117.0,,,2023-10-05 15:24:39,2023-10-05 15:24:41,1.222s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), digitAkhir)",Firefox 117.0,,,2023-10-05 15:24:41,2023-10-05 15:24:42,1.044s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Firefox 117.0,,,2023-10-05 15:24:42,2023-10-05 15:24:43,1.817s,PASSED
"verifyElementText(findTestObject(""sedekah online/verifikasi sukses berdonasi""), ""Minimal nominal sedekah Online Rp 25.000"")",Firefox 117.0,,,2023-10-05 15:24:43,2023-10-05 15:24:45,1.443s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-003,Firefox 117.0,user melakukan sedekah online namun no handphone dan dua digit terakhir no handphone tidak sama,,2023-10-05 15:24:45,2023-10-05 15:25:11,25.758s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-10-05 15:24:46,2023-10-05 15:24:56,9.946s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-10-05 15:24:56,2023-10-05 15:24:56,0.033s,PASSED
"verifyElementPresent(findTestObject(""verifikasi masuk website tajalapk""), 0)",Firefox 117.0,,,2023-10-05 15:24:56,2023-10-05 15:24:57,0.778s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-10-05 15:24:57,2023-10-05 15:24:57,0.602s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-10-05 15:24:57,2023-10-05 15:24:59,1.519s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-10-05 15:24:59,2023-10-05 15:25:00,0.798s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), NominalSedekah)",Firefox 117.0,,,2023-10-05 15:25:00,2023-10-05 15:25:00,0.783s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Firefox 117.0,,,2023-10-05 15:25:00,2023-10-05 15:25:02,1.125s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Firefox 117.0,,,2023-10-05 15:25:02,2023-10-05 15:25:03,1.082s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Firefox 117.0,,,2023-10-05 15:25:03,2023-10-05 15:25:04,1.061s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), pembayaran, false)",Firefox 117.0,,,2023-10-05 15:25:04,2023-10-05 15:25:05,0.915s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), sedekahUntuk, false)",Firefox 117.0,,,2023-10-05 15:25:05,2023-10-05 15:25:05,0.782s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Firefox 117.0,,,2023-10-05 15:25:05,2023-10-05 15:25:06,1.041s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), digitAkhir)",Firefox 117.0,,,2023-10-05 15:25:06,2023-10-05 15:25:07,1.014s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Firefox 117.0,,,2023-10-05 15:25:07,2023-10-05 15:25:09,1.959s,PASSED
"verifyElementText(findTestObject(""sedekah online/verifikasi gagal bernoasi beda dua digit nomor hp""), ""GAGAL Diproses, 2 Digit Terakhir No Handphone yang anda input salah!"")",Firefox 117.0,,,2023-10-05 15:25:09,2023-10-05 15:25:11,1.314s,PASSED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-004,Firefox 117.0,user melakukan sedekah online namun menginputkan email tanpa menggunakan domain,,2023-10-05 15:25:11,2023-10-05 15:25:44,32.808s,PASSED
