Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
T08 - Konfirmasi Pesanan,Firefox 117.0,test untuk test case konfirmasi pendaftaran,,2023-09-29 15:03:18,2023-09-29 15:22:22,19m - 3.498s,FAILED
,,,,,,,
Test Cases/T08 - Konfirmasi Pesanan/TC-LS-001,Firefox 117.0,User login dengan Memasukan username dan password yang valid,,2023-09-29 15:03:19,2023-09-29 15:03:33,14.131s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 15:03:19,2023-09-29 15:03:29,9.660s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 15:03:29,2023-09-29 15:03:29,0.102s,PASSED
"click(findTestObject(""Login/a_Login""))",Firefox 117.0,,,2023-09-29 15:03:29,2023-09-29 15:03:30,0.893s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), ""runa36"")",Firefox 117.0,,,2023-09-29 15:03:30,2023-09-29 15:03:31,1.051s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password di Login(Masuk)""), ""qbkrdMwyWE4="")",Firefox 117.0,,,2023-09-29 15:03:31,2023-09-29 15:03:31,0.454s,PASSED
"click(findTestObject(""Login/button_Masuk di halaman login""))",Firefox 117.0,,,2023-09-29 15:03:31,2023-09-29 15:03:33,1.176s,PASSED
"verifyElementPresent(findTestObject(""Pendaftaran/verifikasi MASUK di halaman Login""), 0)",Firefox 117.0,,,2023-09-29 15:03:33,2023-09-29 15:03:33,0.482s,PASSED
,,,,,,,
Test Cases/T08 - Konfirmasi Pesanan/TC-OS-001,Firefox 117.0,user berhasil melakukan order produk di website tajalapak,,2023-09-29 15:03:33,2023-09-29 15:04:04,30.779s,PASSED
"callTestCase(findTestCase(""T08 - Konfirmasi Pesanan/TC-LS-001""), [:], STOP_ON_FAILURE)",Firefox 117.0,,,2023-09-29 15:03:34,2023-09-29 15:03:44,10.677s,PASSED
"setText(findTestObject(""chekout/input aku mau belanja""), ""acer"")",Firefox 117.0,,,2023-09-29 15:03:44,2023-09-29 15:03:45,0.764s,PASSED
"click(findTestObject(""chekout/button_Cari di halaman tajalapak""))",Firefox 117.0,,,2023-09-29 15:03:45,2023-09-29 15:03:46,0.897s,PASSED
"click(findTestObject(""chekout/NEW read more acer""))",Firefox 117.0,,,2023-09-29 15:03:46,2023-09-29 15:03:47,1.203s,PASSED
"click(findTestObject(""chekout/button_Beli Sekarang di detail produk""))",Firefox 117.0,,,2023-09-29 15:03:47,2023-09-29 15:03:48,1.130s,PASSED
"verifyElementPresent(findTestObject(""chekout/halaman keranjang belanja""), 0)",Firefox 117.0,,,2023-09-29 15:03:48,2023-09-29 15:03:49,0.852s,PASSED
"click(findTestObject(""chekout/button_Lanjut ke Pembayaran""))",Firefox 117.0,,,2023-09-29 15:03:49,2023-09-29 15:03:51,1.189s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/chekout/select_- Kirim via Kurir Lokal -Roda 2Roda 4""), Roda, false)",Firefox 117.0,,,2023-09-29 15:03:51,2023-09-29 15:03:52,1.252s,PASSED
"click(findTestObject(""chekout/jenis kendaraan""))",Firefox 117.0,,,2023-09-29 15:03:52,2023-09-29 15:03:52,0.714s,PASSED
"if (toString().equalsIgnoreCase(""transfer""))",Firefox 117.0,,,2023-09-29 15:03:52,2023-09-29 15:03:53,0.398s,PASSED
"click(findTestObject(""chekout/button_Proses Pembayaran""))",Firefox 117.0,,,2023-09-29 15:03:53,2023-09-29 15:03:59,6.099s,PASSED
"noPesanan = getText(findTestObject(""Object Repository/chekout/nomor invoice dari halaman menunggu pembayaran""))",Firefox 117.0,,,2023-09-29 15:03:59,2023-09-29 15:04:00,1.009s,PASSED
println(noPesanan),Firefox 117.0,,,2023-09-29 15:04:00,2023-09-29 15:04:00,0.012s,PASSED
"pengirim = getText(findTestObject(""Object Repository/chekout/dikirim kepada sama dengan pengirim di tf di konfirmaasi bayar""))",Firefox 117.0,,,2023-09-29 15:04:00,2023-09-29 15:04:01,0.598s,PASSED
"totalharga = getText(findTestObject(""Object Repository/chekout/total harga bayar""))",Firefox 117.0,,,2023-09-29 15:04:01,2023-09-29 15:04:01,0.365s,PASSED
"ongkir = getText(findTestObject(""co saldo akun/new ongkir tf""))",Firefox 117.0,,,2023-09-29 15:04:01,2023-09-29 15:04:02,0.556s,PASSED
"ongkirr = replace("","", """").trim()",Firefox 117.0,,,2023-09-29 15:04:02,2023-09-29 15:04:02,0.007s,PASSED
ongkir1 = Integer.parseInt(ongkirr),Firefox 117.0,,,2023-09-29 15:04:02,2023-09-29 15:04:02,0.005s,PASSED
println(ongkir1),Firefox 117.0,,,2023-09-29 15:04:02,2023-09-29 15:04:02,0.001s,PASSED
"biayaAdmin = getText(findTestObject(""co saldo akun/new fee admin tf""))",Firefox 117.0,,,2023-09-29 15:04:02,2023-09-29 15:04:02,0.472s,PASSED
"bAdmin = replace("","", """").trim()",Firefox 117.0,,,2023-09-29 15:04:02,2023-09-29 15:04:02,0.002s,PASSED
Integer.parseInt(bAdmin),Firefox 117.0,,,2023-09-29 15:04:02,2023-09-29 15:04:02,0.003s,PASSED
Admin = Double.parseDouble(bAdmin),Firefox 117.0,,,2023-09-29 15:04:02,2023-09-29 15:04:02,0.028s,PASSED
println(Admin),Firefox 117.0,,,2023-09-29 15:04:02,2023-09-29 15:04:02,0.002s,PASSED
"subtotal = getText(findTestObject(""co saldo akun/new subtotal tf""))",Firefox 117.0,,,2023-09-29 15:04:02,2023-09-29 15:04:03,0.504s,PASSED
"subtotall = replace("","", """").trim()",Firefox 117.0,,,2023-09-29 15:04:03,2023-09-29 15:04:03,0.001s,PASSED
Integer.parseInt(subtotall),Firefox 117.0,,,2023-09-29 15:04:03,2023-09-29 15:04:03,0.001s,PASSED
sub = Double.parseDouble(subtotall),Firefox 117.0,,,2023-09-29 15:04:03,2023-09-29 15:04:03,0.000s,PASSED
println(sub),Firefox 117.0,,,2023-09-29 15:04:03,2023-09-29 15:04:03,0.001s,PASSED
"kode = getText(findTestObject(""co saldo akun/new kode unik tf""))",Firefox 117.0,,,2023-09-29 15:04:03,2023-09-29 15:04:04,0.952s,PASSED
"kodee = replace(""+"", """").trim()",Firefox 117.0,,,2023-09-29 15:04:04,2023-09-29 15:04:04,0.002s,PASSED
Integer.parseInt(kodee),Firefox 117.0,,,2023-09-29 15:04:04,2023-09-29 15:04:04,0.002s,PASSED
code = Double.parseDouble(kodee),Firefox 117.0,,,2023-09-29 15:04:04,2023-09-29 15:04:04,0.001s,PASSED
