Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), sedekahUntuk, false)",Firefox 117.0,,,2023-09-29 11:06:08,2023-09-29 11:06:09,0.768s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Firefox 117.0,,,2023-09-29 11:06:09,2023-09-29 11:06:10,0.997s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), digitAkhir)",Firefox 117.0,,,2023-09-29 11:06:10,2023-09-29 11:06:11,0.993s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Firefox 117.0,,,2023-09-29 11:06:11,2023-09-29 11:06:12,1.811s,PASSED
"verifyElementText(findTestObject(""sedekah online/verifikasi sukses berdonasi""), ""Minimal nominal sedekah Online Rp 25.000"")",Firefox 117.0,,,2023-09-29 11:06:12,2023-09-29 11:06:14,1.035s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-003,Firefox 117.0,user melakukan sedekah online namun no handphone dan dua digit terakhir no handphone tidak sama,,2023-09-29 11:06:14,2023-09-29 11:06:37,23.524s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 11:06:14,2023-09-29 11:06:24,9.793s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 11:06:24,2023-09-29 11:06:24,0.022s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-09-29 11:06:24,2023-09-29 11:06:25,0.679s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-09-29 11:06:25,2023-09-29 11:06:26,1.423s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-09-29 11:06:26,2023-09-29 11:06:27,0.616s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), NominalSedekah)",Firefox 117.0,,,2023-09-29 11:06:27,2023-09-29 11:06:27,0.879s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Firefox 117.0,,,2023-09-29 11:06:27,2023-09-29 11:06:29,1.173s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Firefox 117.0,,,2023-09-29 11:06:29,2023-09-29 11:06:30,1.044s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Firefox 117.0,,,2023-09-29 11:06:30,2023-09-29 11:06:31,0.871s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), pembayaran, false)",Firefox 117.0,,,2023-09-29 11:06:31,2023-09-29 11:06:32,1.201s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), sedekahUntuk, false)",Firefox 117.0,,,2023-09-29 11:06:32,2023-09-29 11:06:33,0.853s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Firefox 117.0,,,2023-09-29 11:06:33,2023-09-29 11:06:34,1.038s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), digitAkhir)",Firefox 117.0,,,2023-09-29 11:06:34,2023-09-29 11:06:35,0.951s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Firefox 117.0,,,2023-09-29 11:06:35,2023-09-29 11:06:36,1.659s,PASSED
"verifyElementText(findTestObject(""sedekah online/verifikasi gagal bernoasi beda dua digit nomor hp""), ""GAGAL Diproses, 2 Digit Terakhir No Handphone yang anda input salah!"")",Firefox 117.0,,,2023-09-29 11:06:36,2023-09-29 11:06:37,0.769s,PASSED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-004,Firefox 117.0,user melakukan sedekah online namun menginputkan email tanpa menggunakan domain,,2023-09-29 11:06:37,2023-09-29 11:07:01,24.037s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 11:06:39,2023-09-29 11:06:49,9.921s,PASSED
