Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
T05 Sedekah Online,Firefox 117.0,,,2023-09-29 13:52:28,2023-09-29 13:58:31,6m - 2.587s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-001,Firefox 117.0,user melakukan sedekah online dengan menginputkan detail yang valid,,2023-09-29 13:52:29,2023-09-29 13:52:50,21.444s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 13:52:30,2023-09-29 13:52:39,9.471s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 13:52:39,2023-09-29 13:52:39,0.060s,PASSED
"verifyElementPresent(findTestObject(""verifikasi masuk website tajalapk""), 0)",Firefox 117.0,,,2023-09-29 13:52:39,2023-09-29 13:52:40,0.722s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-09-29 13:52:40,2023-09-29 13:52:40,0.537s,PASSED
"verifyElementClickable(findTestObject(""sedekah online/a_Sedekah Online""), STOP_ON_FAILURE)",Firefox 117.0,,,2023-09-29 13:52:40,2023-09-29 13:52:41,0.468s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-09-29 13:52:41,2023-09-29 13:52:42,0.834s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-09-29 13:52:42,2023-09-29 13:52:42,0.546s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), NominalSedekah)",Firefox 117.0,,,2023-09-29 13:52:42,2023-09-29 13:52:43,0.666s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Firefox 117.0,,,2023-09-29 13:52:43,2023-09-29 13:52:44,0.850s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Firefox 117.0,,,2023-09-29 13:52:44,2023-09-29 13:52:45,0.936s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Firefox 117.0,,,2023-09-29 13:52:45,2023-09-29 13:52:45,0.630s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), pembayaran, false)",Firefox 117.0,,,2023-09-29 13:52:45,2023-09-29 13:52:46,0.674s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), sedekahUntuk, false)",Firefox 117.0,,,2023-09-29 13:52:46,2023-09-29 13:52:47,0.684s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Firefox 117.0,,,2023-09-29 13:52:47,2023-09-29 13:52:48,0.944s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), digitAkhir)",Firefox 117.0,,,2023-09-29 13:52:48,2023-09-29 13:52:48,0.657s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Firefox 117.0,,,2023-09-29 13:52:48,2023-09-29 13:52:49,1.075s,PASSED
"verifyElementText(findTestObject(""sedekah online/verifikasi sukses berdonasi""), ""Sukses Proses Bersedekah, kami akan segera menghubungi anda! Terima kasih"")",Firefox 117.0,,,2023-09-29 13:52:49,2023-09-29 13:52:50,0.596s,PASSED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-002,Firefox 117.0,user melakukan sedekah online namun dengan nominal kurang dari 25.000,,2023-09-29 13:52:50,2023-09-29 13:53:08,17.575s,FAILED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 13:52:51,2023-09-29 13:52:57,6.292s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 13:52:57,2023-09-29 13:52:57,0.021s,PASSED
"verifyElementPresent(findTestObject(""verifikasi masuk website tajalapk""), 0)",Firefox 117.0,,,2023-09-29 13:52:57,2023-09-29 13:52:58,0.493s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-09-29 13:52:58,2023-09-29 13:52:58,0.397s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-09-29 13:52:58,2023-09-29 13:52:59,0.767s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-09-29 13:52:59,2023-09-29 13:53:00,0.571s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), NominalSedekah)",Firefox 117.0,,,2023-09-29 13:53:00,2023-09-29 13:53:00,0.684s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Firefox 117.0,,,2023-09-29 13:53:00,2023-09-29 13:53:01,0.858s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Firefox 117.0,,,2023-09-29 13:53:01,2023-09-29 13:53:02,0.978s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Firefox 117.0,,,2023-09-29 13:53:02,2023-09-29 13:53:03,0.664s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), pembayaran, false)",Firefox 117.0,,,2023-09-29 13:53:03,2023-09-29 13:53:03,0.645s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), sedekahUntuk, false)",Firefox 117.0,,,2023-09-29 13:53:03,2023-09-29 13:53:04,1.080s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Firefox 117.0,,,2023-09-29 13:53:04,2023-09-29 13:53:05,0.849s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), digitAkhir)",Firefox 117.0,,,2023-09-29 13:53:05,2023-09-29 13:53:06,0.668s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Firefox 117.0,,,2023-09-29 13:53:06,2023-09-29 13:53:07,0.886s,PASSED
"verifyElementText(findTestObject(""sedekah online/verifikasi sukses berdonasi""), ""Minimal nominal sedekah Online Rp 25.000"")",Firefox 117.0,,,2023-09-29 13:53:07,2023-09-29 13:53:08,0.792s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-003,Firefox 117.0,user melakukan sedekah online namun no handphone dan dua digit terakhir no handphone tidak sama,,2023-09-29 13:53:08,2023-09-29 13:53:27,19.168s,PASSED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 13:53:08,2023-09-29 13:53:16,7.595s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 13:53:16,2023-09-29 13:53:16,0.034s,PASSED
"verifyElementPresent(findTestObject(""verifikasi masuk website tajalapk""), 0)",Firefox 117.0,,,2023-09-29 13:53:16,2023-09-29 13:53:16,0.419s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-09-29 13:53:16,2023-09-29 13:53:17,0.371s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-09-29 13:53:17,2023-09-29 13:53:17,0.742s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-09-29 13:53:17,2023-09-29 13:53:18,0.538s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), NominalSedekah)",Firefox 117.0,,,2023-09-29 13:53:18,2023-09-29 13:53:18,0.629s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Firefox 117.0,,,2023-09-29 13:53:18,2023-09-29 13:53:19,0.807s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Firefox 117.0,,,2023-09-29 13:53:19,2023-09-29 13:53:20,1.026s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Firefox 117.0,,,2023-09-29 13:53:20,2023-09-29 13:53:21,0.844s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), pembayaran, false)",Firefox 117.0,,,2023-09-29 13:53:21,2023-09-29 13:53:22,0.846s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), sedekahUntuk, false)",Firefox 117.0,,,2023-09-29 13:53:22,2023-09-29 13:53:23,1.060s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Firefox 117.0,,,2023-09-29 13:53:23,2023-09-29 13:53:24,1.054s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), digitAkhir)",Firefox 117.0,,,2023-09-29 13:53:24,2023-09-29 13:53:25,0.827s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Firefox 117.0,,,2023-09-29 13:53:25,2023-09-29 13:53:26,1.351s,PASSED
