Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
M05 - Edit Sosial Media,Edge Chromium 117,,,2023-10-03 13:48:13,2023-10-03 13:54:19,6m - 5.414s,FAILED
,,,,,,,
Test Cases/M05 -Edit Sosial Media/TC-LS-001,Edge Chromium 117,User login dengan Memasukan username dan password yang valid,,2023-10-03 13:48:14,2023-10-03 13:48:28,14.553s,PASSED
openBrowser(urlWeb),Edge Chromium 117,,,2023-10-03 13:48:14,2023-10-03 13:48:23,8.988s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-03 13:48:23,2023-10-03 13:48:23,0.224s,PASSED
"click(findTestObject(""Login/a_Login""))",Edge Chromium 117,,,2023-10-03 13:48:23,2023-10-03 13:48:24,0.979s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), ""runa36"")",Edge Chromium 117,,,2023-10-03 13:48:24,2023-10-03 13:48:25,1.179s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password di Login(Masuk)""), ""qbkrdMwyWE4="")",Edge Chromium 117,,,2023-10-03 13:48:25,2023-10-03 13:48:26,0.535s,PASSED
"click(findTestObject(""Login/button_Masuk di halaman login""))",Edge Chromium 117,,,2023-10-03 13:48:26,2023-10-03 13:48:27,1.558s,PASSED
"verifyElementPresent(findTestObject(""edit sosial media/verifikasi masuk halaman biodata diri""), 0)",Edge Chromium 117,,,2023-10-03 13:48:27,2023-10-03 13:48:28,0.754s,PASSED
,,,,,,,
Test Cases/M05 -Edit Sosial Media/TC-ESMS-001,Edge Chromium 117,User melakukan edit semua sosial media dengan inputan yang valid,,2023-10-03 13:48:28,2023-10-03 13:49:00,32.083s,PASSED
"callTestCase(findTestCase(""M05 -Edit Sosial Media/TC-LS-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-03 13:48:29,2023-10-03 13:48:40,11.177s,PASSED
"verifyElementPresent(findTestObject(""edit sosial media/verifikasi masuk halaman biodata diri""), 0)",Edge Chromium 117,,,2023-10-03 13:48:40,2023-10-03 13:48:40,0.334s,PASSED
"click(findTestObject(""edit sosial media/a_Sosmed""))",Edge Chromium 117,,,2023-10-03 13:48:40,2023-10-03 13:48:42,1.269s,PASSED
"click(findTestObject(""edit sosial media/Edit Sosial Media""))",Edge Chromium 117,,,2023-10-03 13:48:42,2023-10-03 13:48:43,1.356s,PASSED
"clearText(findTestObject(""edit sosial media/input_Facebook_a""))",Edge Chromium 117,,,2023-10-03 13:48:43,2023-10-03 13:48:44,0.766s,PASSED
"setText(findTestObject(""edit sosial media/input_Facebook_a""), Facebook)",Edge Chromium 117,,,2023-10-03 13:48:44,2023-10-03 13:48:45,0.808s,PASSED
